<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.08	93165.12	93450.12	93064.16	93378.71	86400	0	45
2025.06.09	93378.73	93553.96	93219.74	93223.20	86400	0	45
2025.06.10	93223.22	93546.53	93039.77	93513.42	86400	0	45
2025.06.11	93513.44	93964.00	93485.15	93949.74	86400	0	45
2025.06.12	93949.76	93988.22	93677.44	93704.70	86401	0	45
2025.06.13	93704.72	94048.28	93693.82	94041.12	86400	0	45
2025.06.14	94041.14	94271.30	93990.57	94096.80	86400	0	45
2025.06.15	94096.82	94106.76	93887.81	93993.96	85807	0	45
2025.06.16	93993.98	94217.94	93938.82	94196.90	86400	0	45
2025.06.17	94196.92	94396.17	94161.35	94173.47	86400	0	45
2025.06.18	94173.49	94288.64	94002.60	94026.54	86401	0	45
2025.06.19	94026.56	94458.12	93888.53	94454.67	86400	0	45
2025.06.20	94454.69	94581.60	94291.93	94358.39	86400	0	45
2025.06.21	94358.41	94796.99	94358.41	94796.99	86400	0	45
2025.06.22	94797.01	94926.79	94755.86	94801.91	86321	0	45
2025.06.23	94801.93	95025.80	94689.77	94995.32	86400	0	45
2025.06.24	94995.34	95078.05	94680.92	94954.88	86400	0	45
2025.06.25	94954.90	95025.94	94574.68	94602.84	86400	0	45
2025.06.26	94602.86	94920.43	94578.71	94777.36	86400	0	45
2025.06.27	94777.38	94805.82	94503.37	94608.73	86401	0	45
2025.06.28	94608.75	94934.59	94585.58	94684.31	86259	0	45
2025.06.29	94684.33	94932.03	94651.13	94840.91	86318	0	45
2025.06.30	94840.93	94911.19	94675.45	94706.71	86401	0	45
2025.07.01	94706.73	94744.24	94473.73	94520.20	86400	0	45
2025.07.02	94520.22	94641.47	94400.64	94641.47	86400	0	45
2025.07.03	94641.49	94685.86	94467.25	94581.65	86375	0	45
2025.07.04	94581.67	94819.93	94519.98	94668.89	86401	0	45
2025.07.05	94668.91	94883.83	94644.01	94801.19	86393	0	45
2025.07.06	94801.21	94843.05	94321.71	94417.88	86392	0	45
2025.07.07	94417.90	94829.89	94382.45	94817.14	86400	0	45
2025.07.08	94817.16	95025.63	94817.16	94823.62	86400	0	45
2025.07.09	94823.64	95026.52	94664.75	94906.41	86401	0	45
2025.07.10	94906.43	95087.75	94716.91	95079.21	86400	0	45
2025.07.11	95079.23	95158.17	94941.92	95053.52	86400	0	45
2025.07.12	95053.54	95392.80	95053.54	95176.09	86331	0	45
2025.07.13	95176.11	95219.55	94865.57	95003.09	86329	0	45
2025.07.14	95003.11	95023.70	94704.39	94893.48	86401	0	45
2025.07.15	94893.50	94987.56	94766.03	94974.06	86217	0	45
2025.07.16	94974.08	95164.95	94955.30	95011.31	86400	0	45
2025.07.17	95011.33	95265.78	94999.65	95072.26	86401	0	45
2025.07.18	95072.28	95154.29	94902.61	95007.38	86400	0	45
2025.07.19	95007.40	95122.31	94914.81	95053.84	86400	0	45
2025.07.20	95053.86	95159.82	94915.60	94931.32	86399	0	45
2025.07.21	94931.34	95210.13	94928.28	95017.16	86399	0	45
2025.07.22	95017.18	95289.65	94865.35	95250.26	86401	0	45
2025.07.23	95250.28	95252.68	94866.89	94918.69	86400	0	45
2025.07.24	94918.71	95212.85	94791.16	94964.36	86400	0	45
2025.07.25	94964.38	95176.98	94964.38	95110.84	86400	0	45
2025.07.26	95110.86	95302.56	95008.64	95043.60	86401	0	45
2025.07.27	95043.62	95130.96	94883.42	95037.60	86400	0	45
2025.07.28	95037.62	95447.49	95037.62	95398.55	86400	0	45
2025.07.29	95398.57	95537.75	95143.99	95217.85	86400	0	45
2025.07.30	95217.87	95383.91	95112.01	95383.91	86400	0	45
2025.07.31	95383.93	95506.03	95267.10	95484.73	86401	0	45
2025.08.01	95484.75	95641.08	95437.23	95573.36	86400	0	45
2025.08.02	95573.38	95624.44	95214.95	95237.41	86400	0	45
2025.08.03	95237.43	95267.13	95040.81	95083.66	86264	0	45
2025.08.04	95083.68	95105.62	94745.94	94760.95	86399	0	45
2025.08.05	94760.97	94857.75	94606.94	94701.12	86401	0	45
2025.08.06	94701.14	94865.46	94657.86	94741.84	86400	0	45
2025.08.07	94741.86	95046.87	94677.38	95010.54	86400	0	45
2025.08.08	95010.56	95172.66	95005.37	95149.20	86400	0	45
2025.08.09	95149.22	95556.08	95050.30	95556.08	86400	0	45
2025.08.10	95556.10	95598.86	95432.42	95513.13	86338	0	45
2025.08.11	95513.15	95674.76	95392.31	95668.67	86400	0	45
2025.08.12	95668.69	95770.77	95414.68	95741.03	86400	0	45
2025.08.13	95741.05	95902.14	95681.06	95835.81	86400	0	45
2025.08.14	95835.83	96111.25	95816.97	96023.44	86401	0	45
2025.08.15	96023.46	96103.03	95677.69	95756.40	86400	0	45
2025.08.16	95756.42	95885.97	95575.62	95812.94	86388	0	45
2025.08.17	95812.96	96105.43	95726.51	96044.67	86245	0	45
2025.08.18	96044.69	96262.74	95998.12	96192.61	86399	0	45
2025.08.19	96192.63	96256.89	95708.45	95775.46	86401	0	45
2025.08.20	95775.48	96104.94	95713.24	95976.48	86400	0	45
2025.08.21	95976.50	96260.82	95971.31	96215.80	86400	0	45
2025.08.22	96215.82	96303.57	96127.10	96139.06	86400	0	45
2025.08.23	96139.08	96308.16	96032.05	96276.33	86400	0	45
2025.08.24	96276.35	96383.84	96145.46	96190.21	86399	0	45
2025.08.25	96190.23	96650.08	96147.14	96650.08	86401	0	45
2025.08.26	96650.10	96650.14	96187.94	96312.69	86400	0	45
2025.08.27	96312.71	96398.49	96155.58	96214.41	86400	0	45
2025.08.28	96214.43	96518.54	96158.10	96518.54	86400	0	45
2025.08.29	96518.56	96539.60	96127.93	96211.69	86400	0	45
2025.08.30	96211.71	96296.71	96076.77	96139.67	85872	0	45
2025.08.31	96139.69	96176.30	95783.90	95787.16	86371	0	45
2025.09.01	95787.18	95974.07	95650.44	95825.25	86400	0	45
2025.09.02	95825.27	95883.23	95523.13	95540.09	86400	0	45
2025.09.03	95540.11	95798.70	95470.14	95782.49	86400	0	45
2025.09.04	95782.51	95805.61	95371.95	95396.87	86400	0	45
2025.09.05	95396.89	95588.92	95247.70	95566.11	86401	0	45
2025.09.06	95566.13	95640.64	95327.11	95414.56	86400	0	45
2025.09.07	95414.58	95471.24	95221.07	95471.24	86400	0	45
2025.09.08	95471.26	95538.28	95213.64	95373.22	86400	0	45
2025.09.09	95373.24	95459.33	95133.51	95330.67	86400	0	45
2025.09.10	95330.69	95521.39	95062.54	95121.74	86401	0	45
2025.09.11	95121.76	95306.67	95038.64	95065.59	86400	0	45
2025.09.12	95065.61	95233.41	95018.29	95130.07	86400	0	45
2025.09.13	95130.09	95196.22	94596.85	94600.45	75218	0	45
2025.09.14	94600.47	94681.72	94478.33	94543.55	86114	0	45
2025.09.15	94543.57	94659.02	94426.49	94577.46	86400	0	45
2025.09.16	94577.48	94624.18	94284.24	94427.82	86401	0	45
2025.09.17	94427.84	94508.64	94185.45	94193.55	86400	0	45
2025.09.18	94193.57	94564.90	94062.71	94473.34	86401	0	45
2025.09.19	94473.36	94859.00	94372.63	94789.74	86400	0	45
2025.09.20	94789.76	94843.81	94560.06	94718.15	75730	0	45
2025.09.21	94718.17	94888.57	94692.83	94836.52	86146	0	45
2025.09.22	94836.54	94886.82	94481.84	94578.52	86401	0	45
2025.09.23	94578.54	94889.46	94517.73	94766.73	86400	0	45
2025.09.24	94766.75	94774.47	93913.21	93953.61	86400	0	45
2025.09.25	93953.63	94086.08	93862.09	94071.35	86400	0	45
2025.09.26	94071.37	94219.17	94036.15	94204.84	86400	0	45
2025.09.27	94204.86	94205.74	93923.50	94153.26	86388	0	45
2025.09.28	94153.28	94446.80	94032.27	94418.08	86399	0	45
2025.09.29	94418.10	94587.61	94357.28	94476.89	86400	0	45
2025.09.30	94476.91	94559.35	94308.82	94519.75	86400	0	45
2025.10.01	94519.77	94753.40	94477.82	94565.39	86401	0	45
2025.10.02	94565.41	94805.05	94472.28	94805.05	86400	0	45
2025.10.03	94805.07	95075.29	94749.80	94788.25	86400	0	45
2025.10.04	94788.27	95028.55	94771.26	94849.52	85821	0	45
2025.10.05	94849.54	94907.99	94699.47	94790.98	86338	0	45
2025.10.06	94791.00	94885.70	94595.38	94696.16	86398	0	45
2025.10.07	94696.18	94717.57	94421.34	94534.39	86400	0	45
2025.10.08	94534.41	94660.82	94351.07	94490.27	86400	0	45
2025.10.09	94490.29	94543.20	94195.19	94236.63	86401	0	45
2025.10.10	94236.65	94251.50	94050.05	94158.53	86400	0	45
2025.10.11	94158.55	94570.97	94076.98	94481.52	86400	0	45
2025.10.12	94481.54	94855.91	94391.64	94831.67	86261	0	45
2025.10.13	94831.69	94935.04	94654.08	94695.87	86400	0	45
2025.10.14	94695.89	94735.67	94430.80	94581.79	86400	0	45
2025.10.15	94581.81	94623.68	94307.79	94317.74	86401	0	45
2025.10.16	94317.76	94393.40	94137.30	94247.29	86400	0	45
2025.10.17	94247.31	94808.82	94239.31	94634.84	86400	0	45
2025.10.18	94634.86	94988.95	94597.86	94943.25	86400	0	45
2025.10.19	94943.27	95178.98	94901.30	95075.32	85159	0	45
2025.10.20	95075.34	95108.90	94753.51	94791.07	86401	0	45
2025.10.21	94791.09	94866.56	94627.01	94762.42	86400	0	45
2025.10.22	94762.44	95000.58	94714.91	94831.22	86400	0	45
2025.10.23	94831.24	94902.59	94585.53	94626.20	86400	0	45
2025.10.24	94626.22	94758.80	94562.46	94742.98	86400	0	45
2025.10.25	94743.00	94799.56	94552.18	94677.84	86401	0	45
2025.10.26	94677.86	94878.91	94591.34	94878.91	80309	0	45
2025.10.27	94878.93	95242.49	94836.24	95191.60	86401	0	45
2025.10.28	95191.62	95578.32	95191.62	95285.77	86400	0	45
2025.10.29	95285.79	95418.93	95209.42	95395.60	56940	0	45
