<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.31	91737.16	91952.84	91627.46	91729.16	86369	0	63
2025.09.01	91729.13	91800.06	91182.28	91214.59	86400	0	63
2025.09.02	91214.56	91735.08	91133.49	91691.88	86400	0	63
2025.09.03	91691.85	91881.92	91353.92	91469.29	86400	0	63
2025.09.04	91469.26	91740.22	91433.99	91620.22	86400	0	63
2025.09.05	91620.19	91620.19	90924.22	91002.86	86401	0	63
2025.09.06	91002.83	91382.74	90893.14	91272.00	86400	0	63
2025.09.07	91271.97	91275.61	91019.67	91062.08	86400	0	63
2025.09.08	91062.05	91115.01	90328.80	90399.03	86400	0	63
2025.09.09	90399.00	90536.38	90246.23	90299.85	86400	0	63
2025.09.10	90299.82	90489.45	90074.46	90398.84	86401	0	63
2025.09.11	90398.81	90758.97	90391.85	90721.23	86400	0	63
2025.09.12	90721.20	90978.04	90695.42	90941.24	86400	0	63
2025.09.13	90941.21	91253.86	90915.42	91252.84	75219	0	63
2025.09.14	91252.81	91608.74	91242.38	91535.64	86063	0	63
2025.09.15	91535.61	91696.59	91422.90	91678.68	86400	0	63
2025.09.16	91678.65	91873.13	91539.33	91706.84	86401	0	63
2025.09.17	91706.81	91818.47	91424.84	91755.29	86400	0	63
2025.09.18	91755.26	91902.16	91596.02	91651.33	86401	0	63
2025.09.19	91651.30	92091.15	91551.54	91899.45	86400	0	63
2025.09.20	91899.42	92179.87	91846.98	91900.33	75730	0	63
2025.09.21	91900.30	92125.93	91693.41	91732.80	86143	0	63
2025.09.22	91732.77	91733.73	91312.66	91351.76	86401	0	63
2025.09.23	91351.73	91734.17	91333.45	91628.48	86400	0	63
2025.09.24	91628.45	91805.09	91099.24	91149.22	86400	0	63
2025.09.25	91149.19	91482.75	91033.74	91458.19	86400	0	63
2025.09.26	91458.16	91578.91	91199.47	91342.47	86400	0	63
2025.09.27	91342.44	91416.47	91064.14	91074.46	86387	0	63
2025.09.28	91074.43	91611.23	91053.94	91529.84	86399	0	63
