"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.09.05	01:00:00	101747.22	101763.01	101714.40	101748.31	900	0	78"
"2025.09.05	01:15:00	101748.25	101788.82	101746.27	101753.45	900	0	78"
"2025.09.05	01:30:00	101753.39	101836.90	101750.45	101805.10	900	0	78"
"2025.09.05	01:45:00	101805.04	101820.67	101774.59	101782.32	900	0	78"
"2025.09.05	02:00:00	101782.26	101852.27	101779.02	101838.20	900	0	78"
"2025.09.05	02:15:00	101838.14	101852.15	101810.39	101827.06	900	0	78"
"2025.09.05	02:30:00	101827.00	101827.00	101787.70	101787.70	900	0	78"
"2025.09.05	02:45:00	101787.64	101787.64	101752.79	101752.79	900	0	78"
"2025.09.05	03:00:00	101752.73	101820.73	101736.11	101785.21	900	0	78"
"2025.09.05	03:15:00	101785.15	101793.64	101754.85	101770.06	900	0	78"
"2025.09.05	03:30:00	101770.00	101798.41	101759.77	101774.22	900	0	78"
"2025.09.05	03:45:00	101774.16	101774.16	101720.22	101720.22	900	0	78"
"2025.09.05	04:00:00	101720.16	101768.09	101713.62	101735.63	900	0	78"
"2025.09.05	04:15:00	101735.57	101790.80	101730.47	101744.48	900	0	78"
"2025.09.05	04:30:00	101744.42	101821.16	101736.26	101818.58	900	0	78"
"2025.09.05	04:45:00	101818.52	101865.36	101809.64	101831.70	900	0	78"
"2025.09.05	05:00:00	101831.64	101831.64	101777.70	101777.70	900	0	78"
"2025.09.05	05:15:00	101777.64	101794.82	101749.52	101749.52	900	0	78"
"2025.09.05	05:30:00	101749.46	101749.46	101704.40	101739.72	900	0	78"
"2025.09.05	05:45:00	101739.66	101757.98	101728.19	101728.19	900	0	78"
"2025.09.05	06:00:00	101728.13	101760.60	101727.41	101745.52	900	0	78"
"2025.09.05	06:15:00	101745.46	101749.81	101718.46	101743.09	900	0	78"
"2025.09.05	06:30:00	101743.03	101775.53	101722.09	101759.99	900	0	78"
"2025.09.05	06:45:00	101759.93	101776.42	101728.79	101756.68	900	0	78"
"2025.09.05	07:00:00	101756.62	101788.23	101731.48	101768.79	900	0	78"
"2025.09.05	07:15:00	101768.73	101768.73	101714.79	101714.79	900	0	78"
"2025.09.05	07:30:00	101714.73	101714.73	101660.79	101660.79	900	0	78"
"2025.09.05	07:45:00	101660.73	101660.73	101606.79	101606.79	900	0	78"
"2025.09.05	08:00:00	101606.73	101647.79	101593.89	101633.09	900	0	78"
"2025.09.05	08:15:00	101633.03	101633.03	101579.09	101579.09	900	0	78"
"2025.09.05	08:30:00	101579.03	101579.03	101525.09	101525.09	900	0	78"
"2025.09.05	08:45:00	101525.03	101542.33	101493.29	101537.89	900	0	78"
"2025.09.05	09:00:00	101537.83	101557.62	101520.25	101521.32	900	0	78"
"2025.09.05	09:15:00	101521.26	101543.68	101497.76	101541.64	900	0	78"
"2025.09.05	09:30:00	101541.58	101575.81	101515.60	101569.63	900	0	78"
"2025.09.05	09:45:00	101569.57	101596.46	101550.19	101590.46	900	0	78"
"2025.09.05	10:00:00	101590.40	101621.89	101575.15	101619.61	900	0	78"
"2025.09.05	10:15:00	101619.55	101656.74	101604.67	101631.84	900	0	78"
